Name,Type,FDC ID,Protein (g),Total Fat (g),Carbs (g),Calories (kcal),Sugars (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Copper (mg),Selenium (mcg),Vitamin A (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin C (mg),Vitamin B-1 (mg),Vitamin B-2 (mg),Vitamin B-3 (mg),Vitamin B-6 (mg),Folate (mcg),Vitamin B-12 (mcg),Vitamin K (mcg),Cholesterol (mg),Saturated Fat (g),Omega-3 EPA (g),Monounsaturated Fat (g),Polyunsaturated Fat (g)
Goat milk,N/A,2705395,3.56,4.14,4.45,69.0,4.45,0.0,134.0,0.05,14.0,111.0,204.0,50.0,0.3,0.046,1.4,57.0,0.07,1.3,1.3,0.048,0.138,0.277,0.046,1.0,0.07,0.3,11.0,2.67,0.0,1.11,0.149
"Goose egg, cooked",N/A,2707177,12.9,18.1,1.27,224.0,0.89,0.0,57.0,3.4,15.0,194.0,197.0,256.0,1.24,0.058,34.4,200.0,2.06,1.6,0.0,0.11,0.339,0.159,0.246,53.0,3.8,5.1,799.0,4.85,0.0,7.38,3.2
"Goose, wild, roasted",N/A,2706142,25.1,21.8,0.0,304.0,0.0,0.0,13.0,2.82,22.0,269.0,328.0,232.0,2.61,0.263,21.7,21.0,1.73,0.1,0.0,0.077,0.322,4.15,0.368,2.0,0.41,5.1,91.0,6.84,0.0,10.2,2.51
"Gordita, cheese only",N/A,2708583,10.6,21.6,22.4,324.0,0.74,1.7,288.0,2.16,33.0,225.0,102.0,490.0,1.78,0.058,10.5,83.0,1.56,0.1,0.0,0.375,0.326,2.55,0.14,50.0,0.46,8.7,35.0,8.33,0.002,6.58,4.09
"Gordita, meat",N/A,2708585,17.0,19.4,13.1,296.0,0.32,1.0,87.0,2.6,26.0,179.0,209.0,330.0,3.82,0.076,16.0,20.0,1.35,0.1,0.0,0.252,0.248,4.31,0.292,33.0,1.44,7.8,54.0,6.14,0.001,7.74,3.38
"Gordita, meat, with beans",N/A,2708586,11.4,15.6,16.6,252.0,0.46,2.0,90.0,2.32,30.0,149.0,212.0,347.0,2.34,0.088,11.2,20.0,1.33,0.0,0.2,0.256,0.218,3.01,0.21,37.0,0.77,8.0,31.0,4.64,0.001,5.98,3.37
"Gordita, with beans",N/A,2708584,5.83,11.8,20.2,207.0,0.6,2.9,92.0,2.05,34.0,120.0,214.0,365.0,0.87,0.101,6.4,19.0,1.3,0.0,0.4,0.261,0.189,1.71,0.127,42.0,0.1,8.1,8.0,3.14,0.0,4.23,3.37
"Gordita/sope shell, plain, no filling",N/A,2707818,3.85,11.2,37.2,260.0,0.72,2.9,55.0,3.7,39.0,98.0,115.0,376.0,0.76,0.094,4.8,1.0,1.14,0.0,0.0,0.632,0.343,4.37,0.195,77.0,0.0,6.9,0.0,2.18,0.0,4.42,3.84
Graham crackers,N/A,2708133,6.69,10.6,77.7,430.0,24.8,3.4,77.0,3.78,40.0,185.0,170.0,516.0,0.96,0.17,6.3,0.0,1.51,0.0,0.0,0.265,0.317,4.44,0.156,91.0,0.0,14.3,0.0,1.63,0.0,2.51,5.39
Graham crackers (Teddy Grahams),N/A,2708134,6.69,10.6,77.7,430.0,24.8,3.4,77.0,3.78,40.0,185.0,170.0,516.0,0.96,0.17,6.3,0.0,1.51,0.0,0.0,0.265,0.317,4.44,0.156,91.0,0.0,14.3,0.0,1.63,0.0,2.51,5.39
"Graham crackers, chocolate covered",N/A,2708135,4.0,25.8,66.8,500.0,37.3,2.2,46.0,2.0,16.0,87.0,267.0,265.0,0.2,0.194,11.1,2.0,0.99,0.0,0.1,0.27,0.15,1.7,0.064,50.0,0.1,6.4,1.0,17.2,0.0,2.7,4.9
"Graham crackers, reduced fat",N/A,2708138,5.71,5.71,78.0,386.0,22.9,5.7,429.0,3.09,56.0,163.0,171.0,629.0,1.16,0.197,33.7,0.0,0.86,0.0,0.0,0.453,0.236,3.82,0.158,80.0,0.0,2.5,0.0,0.0,0.0,1.72,3.37
"Graham crackers, sandwich, with filling",N/A,2708139,4.5,20.0,72.1,483.0,39.3,1.5,27.0,2.21,14.0,75.0,91.0,388.0,0.4,0.114,3.0,0.0,1.6,0.0,0.0,0.261,0.243,2.69,0.018,50.0,0.0,5.0,0.0,2.98,0.0,8.44,7.55
"Grape juice drink, light",N/A,2710589,0.06,0.1,5.51,23.0,4.99,0.1,5.0,0.03,3.0,4.0,17.0,5.0,0.02,0.01,0.0,0.0,0.0,0.0,17.6,0.005,0.005,0.004,0.009,1.0,0.0,0.1,0.0,0.009,0.0,0.001,0.008
"Grape juice, 100%",N/A,2709325,0.18,0.28,15.7,66.0,14.2,0.2,8.0,0.08,6.0,12.0,50.0,6.0,0.04,0.01,0.0,0.0,0.0,0.0,50.4,0.013,0.015,0.011,0.026,2.0,0.0,0.4,0.0,0.025,0.0,0.003,0.022
"Grape juice, 100%, with calcium added",N/A,2709326,0.37,0.13,14.8,62.0,14.2,0.2,42.0,0.25,10.0,14.0,104.0,5.0,0.07,0.018,0.0,0.0,0.0,0.0,25.0,0.017,0.015,0.133,0.032,0.0,0.0,0.4,0.0,0.025,0.0,0.003,0.022
Grape leaves stuffed with rice,N/A,2709064,2.28,12.0,13.9,168.0,2.78,3.1,89.0,1.25,26.0,41.0,152.0,166.0,0.34,0.12,1.7,241.0,2.87,0.0,5.6,0.066,0.089,0.889,0.126,38.0,0.0,58.5,0.0,1.87,0.0,7.87,1.31
"Grapefruit juice, 100%, NS as to form",N/A,2709177,0.56,0.48,8.35,40.0,7.42,0.2,12.0,0.04,9.0,16.0,134.0,1.0,0.04,0.028,0.1,2.0,0.22,0.0,31.8,0.048,0.02,0.136,0.011,16.0,0.0,0.0,1.0,0.082,0.0,0.093,0.175
"Grapefruit juice, 100%, canned, bottled or in a carton",N/A,2709178,0.56,0.48,8.35,40.0,7.42,0.2,12.0,0.04,9.0,16.0,134.0,1.0,0.04,0.028,0.1,2.0,0.22,0.0,31.8,0.048,0.02,0.136,0.011,16.0,0.0,0.0,1.0,0.082,0.0,0.093,0.175
"Grapefruit juice, 100%, freshly squeezed",N/A,2709176,0.5,0.1,9.2,39.0,9.1,0.1,9.0,0.2,12.0,15.0,162.0,1.0,0.05,0.033,0.1,1.0,0.22,0.0,38.0,0.04,0.02,0.2,0.044,10.0,0.0,0.0,0.0,0.014,0.0,0.013,0.024
"Grapefruit juice, 100%, with calcium added",N/A,2709179,0.51,0.68,7.74,39.0,7.96,0.3,146.0,0.06,9.0,16.0,132.0,2.0,0.04,0.026,0.0,16.0,0.2,0.0,22.2,0.038,0.03,0.2,0.044,12.0,0.0,0.0,0.0,0.173,0.0,0.16,0.296
"Grapefruit, canned",N/A,2709166,0.58,0.1,9.15,36.0,8.75,0.4,15.0,0.41,10.0,10.0,132.0,2.0,0.09,0.067,0.9,0.0,0.09,0.0,21.8,0.039,0.021,0.249,0.02,9.0,0.0,0.0,0.0,0.014,0.0,0.014,0.024
"Grapefruit, raw",N/A,2709165,0.77,0.14,10.7,42.0,6.89,1.6,22.0,0.08,9.0,18.0,135.0,0.0,0.07,0.032,0.1,58.0,0.13,0.0,31.2,0.043,0.031,0.204,0.053,13.0,0.0,0.0,0.0,0.021,0.0,0.02,0.036
"Grapes, raw",N/A,2709237,0.9,0.2,19.4,83.0,16.7,0.9,10.0,0.18,8.0,24.0,224.0,5.0,0.04,0.071,0.1,3.0,0.19,0.0,3.2,0.069,0.07,0.188,0.086,2.0,0.0,14.6,0.0,0.054,0.0,0.007,0.048
"Gravy, NFS",N/A,2707149,3.75,2.36,4.81,53.0,0.21,0.4,6.0,0.7,2.0,30.0,81.0,633.0,1.0,0.1,1.0,1.0,0.02,0.0,0.0,0.032,0.036,0.66,0.01,2.0,0.1,0.1,3.0,1.15,0.0,0.962,0.08
"Gravy, beef",N/A,2707145,3.75,2.36,4.81,53.0,0.21,0.4,6.0,0.7,2.0,30.0,81.0,633.0,1.0,0.1,1.0,1.0,0.02,0.0,0.0,0.032,0.036,0.66,0.01,2.0,0.1,0.1,3.0,1.15,0.0,0.962,0.08
"Gravy, beef, fat free",N/A,2707146,3.75,2.36,4.81,53.0,0.21,0.4,6.0,0.7,2.0,30.0,81.0,633.0,1.0,0.1,1.0,1.0,0.02,0.0,0.0,0.032,0.036,0.66,0.01,2.0,0.1,0.1,3.0,1.15,0.0,0.962,0.08
"Gravy, for use with vegetables",N/A,2710245,0.31,1.05,11.2,57.0,0.12,0.1,7.0,0.08,2.0,9.0,18.0,932.0,0.04,0.017,0.4,0.0,0.04,0.0,0.0,0.01,0.021,0.114,0.01,1.0,0.0,0.2,2.0,0.256,0.0,0.412,0.165
"Gravy, made with soy sauce",N/A,2707148,0.82,0.29,9.82,46.0,3.81,0.1,6.0,0.12,6.0,17.0,31.0,981.0,0.05,0.015,1.0,0.0,0.06,0.0,0.0,0.003,0.015,0.221,0.012,2.0,0.03,0.1,0.0,0.127,0.0,0.108,0.022
"Gravy, poultry",N/A,2707144,0.71,2.62,5.29,48.0,0.3,0.1,10.0,0.09,3.0,20.0,42.0,389.0,0.08,0.019,0.4,1.0,0.1,0.0,0.0,0.024,0.053,0.285,0.025,2.0,0.0,0.6,5.0,0.639,0.0,1.03,0.407
"Gravy, poultry, fat free",N/A,2707147,0.71,2.62,5.29,48.0,0.3,0.1,10.0,0.09,3.0,20.0,42.0,389.0,0.08,0.019,0.4,1.0,0.1,0.0,0.0,0.024,0.053,0.285,0.025,2.0,0.0,0.6,5.0,0.639,0.0,1.03,0.407
"Gravy, vegetarian",N/A,2707548,3.84,10.2,9.21,144.0,4.63,0.2,121.0,0.34,13.0,105.0,157.0,323.0,0.45,0.011,2.7,138.0,0.81,1.2,0.1,0.094,0.154,0.468,0.176,8.0,0.42,4.9,23.0,4.68,0.002,2.57,1.37
"Greek Salad, no dressing",N/A,2709830,2.75,2.26,4.35,48.0,1.43,1.5,57.0,0.9,13.0,45.0,228.0,246.0,0.4,0.074,3.2,240.0,0.41,0.1,5.5,0.049,0.083,0.929,0.063,36.0,0.11,55.9,6.0,0.859,0.023,0.975,0.262
Green bean casserole,N/A,2710040,1.96,2.21,7.05,56.0,2.03,1.9,42.0,0.43,18.0,43.0,203.0,316.0,0.28,0.063,1.5,26.0,0.4,0.2,5.8,0.039,0.077,0.52,0.071,17.0,0.04,31.3,1.0,0.505,0.0,0.474,1.06
"Green beans, NS as to form, cooked",N/A,2709855,1.51,2.93,5.74,55.0,1.81,2.4,38.0,0.71,20.0,32.0,194.0,204.0,0.27,0.07,0.5,37.0,0.61,0.0,6.5,0.035,0.073,0.45,0.086,25.0,0.0,43.2,2.0,0.751,0.0,0.937,0.906
"Green beans, canned, cooked with butter or margarine",N/A,2709864,1.03,2.57,4.0,43.0,1.26,1.8,36.0,0.76,13.0,23.0,95.0,291.0,0.19,0.04,0.4,40.0,0.24,0.1,2.4,0.015,0.045,0.2,0.062,22.0,0.0,39.0,4.0,1.04,0.0,0.594,0.551
"Green beans, canned, cooked with oil",N/A,2709863,1.01,3.29,3.99,50.0,1.25,1.8,35.0,0.76,13.0,22.0,94.0,274.0,0.18,0.04,0.4,17.0,0.58,0.0,2.4,0.015,0.045,0.2,0.029,22.0,0.0,40.7,0.0,0.48,0.0,1.25,1.32
"Green beans, canned, cooked, fat added, NS as to fat type",N/A,2709858,1.02,2.93,4.0,46.0,1.26,1.8,35.0,0.76,13.0,23.0,95.0,282.0,0.18,0.04,0.4,29.0,0.41,0.0,2.4,0.015,0.045,0.2,0.046,22.0,0.0,39.9,2.0,0.758,0.0,0.923,0.937
"Green beans, canned, cooked, no added fat",N/A,2709854,1.04,0.39,4.11,24.0,1.29,1.9,36.0,0.78,13.0,23.0,97.0,282.0,0.19,0.041,0.4,18.0,0.03,0.0,2.5,0.015,0.046,0.206,0.03,23.0,0.0,38.9,0.0,0.093,0.0,0.017,0.211
"Green beans, canned, reduced sodium, cooked with butter or margarine",N/A,2709868,1.1,2.64,4.2,41.0,0.77,1.8,37.0,1.03,13.0,20.0,94.0,19.0,0.2,0.033,0.4,40.0,0.24,0.1,2.4,0.015,0.045,0.2,0.062,26.0,0.0,39.0,4.0,1.05,0.0,0.596,0.573
"Green beans, canned, reduced sodium, cooked with oil",N/A,2709867,1.09,3.36,4.19,48.0,0.76,1.8,37.0,1.03,13.0,19.0,93.0,2.0,0.19,0.033,0.4,17.0,0.58,0.0,2.4,0.015,0.045,0.2,0.029,26.0,0.0,40.7,0.0,0.489,0.0,1.25,1.35
"Green beans, canned, reduced sodium, cooked, fat added, NS as to fat type",N/A,2709866,1.1,3.0,4.2,44.0,0.76,1.8,37.0,1.03,13.0,20.0,94.0,11.0,0.2,0.033,0.4,29.0,0.41,0.0,2.4,0.015,0.045,0.2,0.046,26.0,0.0,39.9,2.0,0.768,0.0,0.924,0.96
"Green beans, canned, reduced sodium, cooked, no added fat",N/A,2709865,1.12,0.46,4.32,22.0,0.78,1.9,38.0,1.06,13.0,20.0,96.0,2.0,0.2,0.034,0.4,18.0,0.03,0.0,2.5,0.015,0.046,0.206,0.03,27.0,0.0,38.9,0.0,0.103,0.0,0.019,0.234
"Green beans, cooked, Szechuan-style",N/A,2710041,2.54,6.96,8.37,106.0,2.25,3.0,48.0,0.84,32.0,55.0,309.0,226.0,0.45,0.113,1.2,34.0,1.64,0.0,10.3,0.062,0.103,0.802,0.158,28.0,0.0,56.6,0.0,0.951,0.0,2.82,2.7
"Green beans, cooked, as ingredient",N/A,2710803,2.05,0.29,7.72,42.0,2.43,3.1,42.0,0.68,29.0,43.0,302.0,0.0,0.36,0.102,0.6,35.0,0.43,0.0,10.8,0.056,0.103,0.723,0.113,29.0,0.0,45.7,0.0,0.052,0.0,0.01,0.118
"Green beans, cooked, from restaurant",N/A,2709851,1.96,4.6,7.32,78.0,2.31,3.0,40.0,0.65,28.0,41.0,287.0,206.0,0.35,0.097,0.6,52.0,1.05,0.0,10.2,0.053,0.098,0.686,0.135,28.0,0.0,46.9,3.0,1.18,0.0,1.55,1.35
"Green beans, fresh, cooked with butter or margarine",N/A,2709860,2.0,2.56,7.48,61.0,2.36,3.0,41.0,0.66,28.0,42.0,293.0,135.0,0.35,0.099,0.6,57.0,0.63,0.1,10.5,0.055,0.1,0.7,0.144,28.0,0.0,45.6,4.0,1.03,0.0,0.61,0.473
"Green beans, fresh, cooked with oil",N/A,2709859,1.99,3.31,7.47,68.0,2.35,3.0,40.0,0.66,28.0,41.0,292.0,117.0,0.35,0.099,0.6,34.0,0.99,0.0,10.5,0.054,0.1,0.7,0.11,28.0,0.0,47.3,0.0,0.455,0.0,1.29,1.28
"Green beans, fresh, cooked, fat added, NS as to fat type",N/A,2709856,2.0,2.93,7.48,64.0,2.36,3.0,41.0,0.66,28.0,42.0,293.0,126.0,0.35,0.099,0.6,45.0,0.81,0.0,10.5,0.055,0.1,0.7,0.127,28.0,0.0,46.5,2.0,0.744,0.0,0.951,0.875
"Green beans, fresh, cooked, no added fat",N/A,2709852,2.05,0.29,7.7,42.0,2.42,3.1,42.0,0.68,29.0,43.0,301.0,121.0,0.36,0.102,0.6,35.0,0.43,0.0,10.8,0.056,0.103,0.721,0.113,29.0,0.0,45.6,0.0,0.052,0.0,0.01,0.117
"Green beans, frozen, cooked with butter or margarine",N/A,2709862,1.46,2.35,6.26,47.0,1.83,2.9,41.0,0.64,18.0,29.0,155.0,131.0,0.23,0.057,0.4,43.0,0.25,0.0,4.0,0.034,0.087,0.371,0.091,22.0,0.0,38.2,4.0,0.987,0.0,0.584,0.426
"Green beans, frozen, cooked with oil",N/A,2709861,1.44,3.07,6.24,53.0,1.82,2.9,41.0,0.64,18.0,28.0,154.0,113.0,0.23,0.057,0.4,20.0,0.59,0.0,4.0,0.034,0.087,0.371,0.058,22.0,0.0,39.8,0.0,0.431,0.0,1.24,1.2
"Green beans, frozen, cooked, fat added, NS as to fat type",N/A,2709857,1.45,2.71,6.25,50.0,1.82,2.9,41.0,0.64,18.0,28.0,154.0,122.0,0.23,0.057,0.4,32.0,0.42,0.0,4.0,0.034,0.087,0.371,0.074,22.0,0.0,39.0,2.0,0.709,0.0,0.911,0.811
"Green beans, frozen, cooked, no added fat",N/A,2709853,1.49,0.17,6.43,28.0,1.87,3.0,42.0,0.66,19.0,29.0,159.0,117.0,0.24,0.059,0.4,21.0,0.04,0.0,4.1,0.035,0.09,0.382,0.06,23.0,0.0,38.0,0.0,0.044,0.0,0.008,0.083
"Green beans, pickled",N/A,2710070,1.63,0.25,11.0,54.0,6.8,2.5,35.0,0.54,23.0,34.0,241.0,944.0,0.29,0.082,0.6,28.0,0.34,0.0,8.6,0.045,0.083,0.576,0.09,23.0,0.0,36.4,0.0,0.041,0.0,0.008,0.094
"Green beans, raw",N/A,2709769,1.97,0.28,7.41,40.0,2.33,3.0,40.0,0.65,28.0,41.0,290.0,0.0,0.35,0.098,0.6,35.0,0.41,0.0,12.2,0.06,0.104,0.731,0.121,33.0,0.0,43.9,0.0,0.05,0.0,0.01,0.113
"Green peas, NS as to form, cooked",N/A,2709962,4.99,2.81,13.8,98.0,4.26,4.4,24.0,1.47,21.0,75.0,107.0,191.0,0.65,0.102,1.0,113.0,0.41,0.0,9.6,0.274,0.097,1.43,0.126,57.0,0.0,25.3,2.0,0.714,0.0,0.927,0.855
"Green peas, canned, cooked with butter or margarine",N/A,2709971,4.36,2.97,11.0,86.0,2.91,4.8,23.0,1.15,18.0,66.0,104.0,282.0,0.64,0.103,1.6,65.0,0.58,0.1,3.7,0.099,0.052,0.951,0.087,29.0,0.0,37.0,4.0,1.09,0.0,0.647,0.71
"Green peas, canned, cooked with oil",N/A,2709970,4.34,3.69,11.0,92.0,2.9,4.8,22.0,1.15,17.0,65.0,103.0,265.0,0.64,0.103,1.6,42.0,0.92,0.0,3.7,0.099,0.051,0.95,0.054,29.0,0.0,38.7,0.0,0.528,0.0,1.3,1.48
"Green peas, canned, cooked, fat added, NS as to fat type",N/A,2709965,4.35,3.33,11.0,89.0,2.91,4.8,23.0,1.15,18.0,65.0,103.0,274.0,0.64,0.103,1.6,53.0,0.75,0.0,3.7,0.099,0.052,0.951,0.071,29.0,0.0,37.8,2.0,0.807,0.0,0.975,1.1
"Green peas, canned, cooked, no added fat",N/A,2709961,4.47,0.8,11.4,68.0,2.99,4.9,23.0,1.18,18.0,67.0,106.0,273.0,0.66,0.106,1.7,43.0,0.38,0.0,3.8,0.102,0.053,0.979,0.056,29.0,0.0,36.8,0.0,0.143,0.0,0.071,0.375
"Green peas, canned, reduced sodium, cooked with butter or margarine",N/A,2709975,3.89,3.11,11.8,89.0,3.9,4.0,23.0,1.24,21.0,65.0,122.0,32.0,0.85,0.131,1.6,116.0,0.29,0.1,10.7,0.128,0.089,1.02,0.12,34.0,0.0,21.6,5.0,1.25,0.001,0.755,0.605
"Green peas, canned, reduced sodium, cooked with oil",N/A,2709974,3.87,4.0,11.8,97.0,3.88,4.0,22.0,1.24,21.0,64.0,121.0,11.0,0.85,0.131,1.6,87.0,0.72,0.0,10.7,0.128,0.089,1.02,0.079,33.0,0.0,23.7,0.0,0.552,0.0,1.58,1.57
"Green peas, canned, reduced sodium, cooked, fat added, NS as to fat type",N/A,2709973,3.88,3.56,11.8,93.0,3.89,4.0,22.0,1.24,21.0,65.0,122.0,22.0,0.85,0.131,1.6,102.0,0.5,0.0,10.7,0.128,0.089,1.02,0.099,33.0,0.0,22.7,3.0,0.901,0.0,1.16,1.09
"Green peas, canned, reduced sodium, cooked, no added fat",N/A,2709972,3.99,0.38,12.2,66.0,4.0,4.1,22.0,1.27,21.0,66.0,125.0,11.0,0.88,0.135,1.6,90.0,0.02,0.0,11.0,0.132,0.091,1.05,0.081,34.0,0.0,20.6,0.0,0.068,0.0,0.034,0.178
"Green peas, cooked, from restaurant",N/A,2709958,5.37,4.72,14.3,119.0,5.61,5.6,25.0,1.46,33.0,107.0,242.0,211.0,1.23,0.174,1.8,55.0,0.78,0.0,33.6,0.237,0.124,1.96,0.178,55.0,0.0,28.0,3.0,1.2,0.0,1.57,1.43
"Green peas, fresh, cooked with butter or margarine",N/A,2709967,5.48,2.68,14.6,102.0,5.73,5.7,26.0,1.48,33.0,109.0,247.0,140.0,1.25,0.178,1.8,60.0,0.35,0.1,34.3,0.242,0.127,2.0,0.187,56.0,0.0,26.3,4.0,1.06,0.0,0.635,0.548
"Green peas, fresh, cooked with oil",N/A,2709966,5.46,3.43,14.6,109.0,5.72,5.7,25.0,1.49,33.0,109.0,246.0,122.0,1.25,0.177,1.8,36.0,0.71,0.0,34.3,0.241,0.126,2.0,0.153,56.0,0.0,28.0,0.0,0.476,0.0,1.32,1.35
"Green peas, fresh, cooked, fat added, NS as to fat type",N/A,2709963,5.47,3.06,14.6,106.0,5.72,5.7,26.0,1.48,33.0,109.0,246.0,131.0,1.25,0.178,1.8,48.0,0.53,0.0,34.3,0.241,0.127,2.0,0.17,56.0,0.0,27.2,2.0,0.765,0.0,0.976,0.949
"Green peas, fresh, cooked, no added fat",N/A,2709959,5.63,0.42,15.0,84.0,5.89,5.9,26.0,1.53,34.0,112.0,253.0,126.0,1.29,0.183,1.9,37.0,0.14,0.0,35.3,0.249,0.13,2.06,0.158,57.0,0.0,25.8,0.0,0.074,0.0,0.036,0.194
"Green peas, frozen, cooked with butter or margarine",N/A,2709969,5.0,2.45,13.8,95.0,4.27,4.4,24.0,1.47,21.0,75.0,107.0,199.0,0.65,0.102,1.0,124.0,0.24,0.0,9.6,0.274,0.097,1.43,0.142,57.0,0.0,24.5,4.0,0.991,0.0,0.599,0.47
"Green peas, frozen, cooked with oil",N/A,2709968,4.99,3.17,13.8,102.0,4.26,4.4,23.0,1.48,21.0,75.0,106.0,182.0,0.65,0.102,1.0,102.0,0.58,0.0,9.6,0.274,0.097,1.43,0.109,57.0,0.0,26.2,0.0,0.436,0.0,1.25,1.24
"Green peas, frozen, cooked, fat added, NS as to fat type",N/A,2709964,4.99,2.81,13.8,98.0,4.26,4.4,24.0,1.47,21.0,75.0,107.0,191.0,0.65,0.102,1.0,113.0,0.41,0.0,9.6,0.274,0.097,1.43,0.126,57.0,0.0,25.3,2.0,0.714,0.0,0.927,0.855
"Green peas, frozen, cooked, no added fat",N/A,2709960,5.14,0.27,14.2,78.0,4.39,4.5,24.0,1.52,22.0,77.0,110.0,188.0,0.67,0.105,1.0,105.0,0.03,0.0,9.9,0.282,0.1,1.48,0.113,59.0,0.0,23.9,0.0,0.049,0.0,0.024,0.129
"Green peas, raw",N/A,2709797,5.42,0.4,14.4,81.0,5.67,5.7,25.0,1.47,33.0,108.0,244.0,5.0,1.24,0.176,1.8,38.0,0.13,0.0,40.0,0.266,0.132,2.09,0.169,65.0,0.0,24.8,0.0,0.071,0.0,0.035,0.187
"Green pepper, cooked, as ingredient",N/A,2710798,0.77,0.12,5.14,25.0,2.58,1.0,8.0,0.2,10.0,18.0,175.0,0.0,0.14,0.062,0.0,18.0,0.4,0.0,90.9,0.038,0.091,0.65,0.239,20.0,0.0,8.0,0.0,0.062,0.0,0.009,0.067
"Green plantain with cracklings, Puerto Rican style",N/A,2710139,13.2,22.8,27.0,358.0,14.8,1.4,10.0,0.68,33.0,52.0,405.0,349.0,0.33,0.081,9.9,40.0,2.25,0.1,11.0,0.077,0.127,1.05,0.204,9.0,0.16,35.8,24.0,5.56,0.0,9.91,5.96
Greens with ham or pork,N/A,2706759,4.91,1.41,4.68,47.0,0.84,3.6,205.0,1.1,30.0,73.0,303.0,370.0,0.5,0.086,5.4,222.0,1.46,0.1,40.5,0.114,0.208,1.54,0.193,65.0,0.05,364.0,7.0,0.277,0.0,0.317,0.407
"Greens, NS as to form, cooked",N/A,2709595,2.89,3.4,5.02,58.0,0.72,4.1,228.0,1.12,31.0,42.0,294.0,163.0,0.29,0.084,1.1,259.0,1.98,0.0,45.3,0.075,0.207,0.881,0.175,72.0,0.0,410.0,2.0,0.748,0.0,0.941,1.08
"Greens, canned, cooked",N/A,2709598,1.32,2.82,2.71,41.0,0.41,1.3,114.0,1.46,19.0,20.0,136.0,335.0,0.22,0.08,0.7,298.0,1.8,0.0,14.2,0.01,0.058,0.347,0.055,84.0,0.0,279.0,2.0,0.73,0.0,0.918,0.842
"Greens, fresh, cooked, fat added",N/A,2709596,2.89,3.4,5.02,58.0,0.72,4.1,228.0,1.12,31.0,42.0,294.0,163.0,0.29,0.084,1.1,259.0,1.98,0.0,45.3,0.075,0.207,0.881,0.175,72.0,0.0,410.0,2.0,0.748,0.0,0.941,1.08
"Greens, fresh, cooked, no added fat",N/A,2709593,2.97,0.97,5.16,37.0,0.74,4.2,235.0,1.14,31.0,43.0,302.0,159.0,0.3,0.085,1.1,254.0,1.66,0.0,46.6,0.077,0.212,0.906,0.163,74.0,0.0,419.0,0.0,0.106,0.0,0.069,0.388
"Greens, frozen, cooked, fat added",N/A,2709597,2.84,3.24,5.59,59.0,0.76,2.6,164.0,1.06,25.0,33.0,188.0,150.0,0.27,0.067,1.1,377.0,1.88,0.0,20.6,0.052,0.111,0.493,0.102,65.0,0.0,488.0,2.0,0.761,0.0,0.96,1.06
"Greens, frozen, cooked, no added fat",N/A,2709594,2.92,0.71,5.75,37.0,0.78,2.7,169.0,1.09,26.0,33.0,194.0,146.0,0.28,0.069,1.2,376.0,1.54,0.0,21.2,0.053,0.114,0.508,0.088,67.0,0.0,500.0,0.0,0.098,0.0,0.059,0.343
Greyhound,N/A,2710634,0.42,0.36,6.28,87.0,5.58,0.2,9.0,0.04,7.0,13.0,102.0,1.0,0.04,0.026,0.1,2.0,0.17,0.0,23.9,0.038,0.016,0.106,0.009,12.0,0.0,0.0,1.0,0.062,0.0,0.07,0.132
"Grilled cheese sandwich, American cheese, on wheat bread",N/A,2705803,12.0,21.0,26.1,341.0,4.44,2.8,470.0,1.9,40.0,321.0,176.0,817.0,1.56,0.11,20.9,189.0,1.35,2.6,0.1,0.175,0.234,2.57,0.25,37.0,0.51,9.3,48.0,9.95,0.006,4.94,2.63
"Grilled cheese sandwich, American cheese, on white bread",N/A,2705802,11.0,20.8,28.1,343.0,4.51,1.2,496.0,2.01,25.0,293.0,139.0,822.0,1.32,0.075,18.6,189.0,1.28,2.6,0.0,0.22,0.247,2.51,0.214,54.0,0.51,6.5,48.0,10.0,0.006,4.98,2.79
"Grilled cheese sandwich, NFS",N/A,2705801,11.0,20.8,28.1,343.0,4.51,1.2,496.0,2.01,25.0,293.0,139.0,822.0,1.32,0.075,18.6,189.0,1.28,2.6,0.0,0.22,0.247,2.51,0.214,54.0,0.51,6.5,48.0,10.0,0.006,4.98,2.79
"Grilled cheese sandwich, cheddar cheese, on wheat bread",N/A,2705805,14.4,23.5,24.4,366.0,2.85,2.8,342.0,1.69,39.0,254.0,128.0,536.0,2.04,0.111,24.5,209.0,1.32,0.4,0.1,0.175,0.272,2.54,0.242,39.0,0.37,9.0,53.0,11.2,0.006,5.42,2.67
"Grilled cheese sandwich, cheddar cheese, on white bread",N/A,2705804,13.4,23.3,26.4,368.0,2.92,1.2,367.0,1.8,24.0,227.0,91.0,541.0,1.79,0.077,22.2,209.0,1.26,0.4,0.0,0.22,0.285,2.48,0.207,56.0,0.37,6.3,53.0,11.3,0.006,5.46,2.83
"Grilled cheese sandwich, reduced fat cheese, on wheat bread",N/A,2705807,12.3,16.2,27.4,305.0,5.64,2.8,277.0,1.71,41.0,388.0,220.0,734.0,1.56,0.11,18.8,185.0,1.15,2.1,0.1,0.189,0.286,2.59,0.246,38.0,0.38,9.1,36.0,7.5,0.003,4.23,2.39
